BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,_id
BRONX,Driver Inattention/Distraction,Driver Inattention/Distraction,3/25/2022,13:21,1,0,Sedan,Sedan,65226c0c27407f3e1fedf96b
BRONX,Turning Improperly,Unspecified,3/22/2022,8:20,1,0,Sedan,Bike,65226c0c27407f3e1fedf96c
BROOKLYN,Passing or Lane Usage Improper,Unspecified,3/26/2022,22:30,0,0,Sedan,,65226c0c27407f3e1fedf96d
,Alcohol Involvement,Driver Inattention/Distraction,3/26/2022,11:20,1,0,Sedan,,65226c0c27407f3e1fedf96e
QUEENS,Passing or Lane Usage Improper,Unspecified,3/26/2022,18:17,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf96f
QUEENS,Unspecified,,3/14/2022,10:30,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf970
,Driver Inattention/Distraction,Unspecified,3/26/2022,1:30,0,0,Pick-up Truck,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf971
BRONX,Following Too Closely,Unspecified,3/26/2022,3:23,1,0,Box Truck,Sedan,65226c0c27407f3e1fedf972
BROOKLYN,Driver Inattention/Distraction,Unspecified,3/26/2022,1:45,0,0,Taxi,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf973
MANHATTAN,Unspecified,,3/5/2022,14:52,0,0,Sedan,,65226c0c27407f3e1fedf974
,Passing or Lane Usage Improper,Unspecified,3/26/2022,20:27,0,0,Sedan,E-Bike,65226c0c27407f3e1fedf975
MANHATTAN,Unspecified,,3/26/2022,18:19,0,0,Sedan,,65226c0c27407f3e1fedf976
QUEENS,Alcohol Involvement,Unspecified,3/26/2022,23:00,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf977
BROOKLYN,Unsafe Speed,Unspecified,3/26/2022,18:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf978
,Unsafe Speed,,3/23/2022,20:40,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf979
,Driver Inattention/Distraction,Unspecified,4/24/2022,11:45,0,0,Sedan,,65226c0c27407f3e1fedf97a
MANHATTAN,Passing or Lane Usage Improper,Unspecified,9/11/2021,12:01,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf97b
BROOKLYN,Unspecified,Unspecified,9/10/2021,11:00,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf97c
MANHATTAN,Unspecified,,9/11/2021,20:15,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf97d
BROOKLYN,Backing Unsafely,,9/9/2021,8:15,0,0,,,65226c0c27407f3e1fedf97e
BROOKLYN,Unspecified,Unspecified,12/10/2021,23:07,0,0,Sedan,,65226c0c27407f3e1fedf97f
,Other Vehicular,,12/10/2021,21:50,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf980
BROOKLYN,Unspecified,Unspecified,11/27/2021,5:40,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf981
,Traffic Control Disregarded,Traffic Control Disregarded,12/9/2021,5:15,1,0,Sedan,Sedan,65226c0c27407f3e1fedf982
BROOKLYN,Unspecified,,12/8/2021,12:58,0,0,Convertible,,65226c0c27407f3e1fedf983
,Following Too Closely,Unspecified,12/8/2021,17:50,0,0,Tractor Truck Diesel,Sedan,65226c0c27407f3e1fedf984
QUEENS,Driver Inattention/Distraction,Unspecified,12/10/2021,4:30,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf985
,Failure to Yield Right-of-Way,,12/10/2021,21:22,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf986
BRONX,Unsafe Lane Changing,Unspecified,12/10/2021,8:30,0,0,Ambulance,Sedan,65226c0c27407f3e1fedf987
QUEENS,Driver Inattention/Distraction,Unspecified,12/10/2021,12:15,0,0,Station Wagon/Sport Utility Vehicle,Tanker,65226c0c27407f3e1fedf988
BROOKLYN,Passing Too Closely,Unspecified,12/8/2021,14:38,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf989
,Unspecified,Unspecified,12/3/2021,13:40,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf98a
BRONX,Other Vehicular,Other Vehicular,12/10/2021,8:50,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf98b
BROOKLYN,Unspecified,,12/9/2021,19:45,0,0,Sedan,,65226c0c27407f3e1fedf98c
MANHATTAN,Unspecified,Unspecified,12/10/2021,16:07,0,0,Sedan,AMBULANCE,65226c0c27407f3e1fedf98d
,Following Too Closely,Unspecified,12/8/2021,6:37,0,0,Sedan,Sedan,65226c0c27407f3e1fedf98e
MANHATTAN,Unsafe Speed,Unspecified,12/10/2021,21:20,0,0,Station Wagon/Sport Utility Vehicle,Taxi,65226c0c27407f3e1fedf98f
,Failure to Yield Right-of-Way,Unspecified,12/10/2021,23:16,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf990
,Driver Inattention/Distraction,Unspecified,12/9/2021,17:21,2,0,Taxi,Sedan,65226c0c27407f3e1fedf991
BROOKLYN,Unspecified,,12/9/2021,7:30,0,0,Sedan,,65226c0c27407f3e1fedf992
,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,11/24/2021,23:58,1,0,,,65226c0c27407f3e1fedf993
MANHATTAN,Following Too Closely,Unspecified,12/9/2021,17:00,1,0,Taxi,Bike,65226c0c27407f3e1fedf994
BROOKLYN,Unspecified,Unspecified,12/8/2021,8:15,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf995
,Alcohol Involvement,Unspecified,9/11/2021,2:20,1,0,Pick-up Truck,Convertible,65226c0c27407f3e1fedf996
,Passing Too Closely,Unspecified,7/9/2021,12:00,0,0,Station Wagon/Sport Utility Vehicle,Box Truck,65226c0c27407f3e1fedf997
,Unspecified,Unspecified,9/11/2021,15:25,0,0,Sedan,Sedan,65226c0c27407f3e1fedf998
,Unspecified,,9/10/2021,14:50,0,0,Box Truck,,65226c0c27407f3e1fedf999
QUEENS,Passing or Lane Usage Improper,Unspecified,7/1/2021,17:45,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf99a
MANHATTAN,Driver Inexperience,,7/7/2021,13:45,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf99b
QUEENS,Unspecified,,9/11/2021,12:00,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf99c
,Unspecified,Unspecified,7/7/2021,17:30,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf99d
QUEENS,Alcohol Involvement,Unspecified,9/11/2021,2:55,0,0,Sedan,Sedan,65226c0c27407f3e1fedf99e
STATEN ISLAND,Unspecified,,9/11/2021,17:15,1,0,Sedan,,65226c0c27407f3e1fedf99f
BROOKLYN,Passing Too Closely,Unspecified,9/3/2021,17:14,0,0,Station Wagon/Sport Utility Vehicle,DL,65226c0c27407f3e1fedf9a0
,Following Too Closely,Unspecified,7/8/2021,12:30,0,0,Taxi,Pick-up Truck,65226c0c27407f3e1fedf9a1
,Driver Inattention/Distraction,,8/23/2021,11:50,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9a2
BRONX,Turning Improperly,Unspecified,9/11/2021,21:34,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9a3
QUEENS,Passing or Lane Usage Improper,Unspecified,9/11/2021,11:30,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9a4
,Reaction to Uninvolved Vehicle,Unspecified,9/6/2021,10:34,1,0,Sedan,Sedan,65226c0c27407f3e1fedf9a5
,Other Vehicular,Following Too Closely,7/8/2021,15:56,1,0,Sedan,Sedan,65226c0c27407f3e1fedf9a6
,Passing Too Closely,Unspecified,7/7/2021,23:06,0,0,Sedan,,65226c0c27407f3e1fedf9a7
,Backing Unsafely,Unspecified,9/11/2021,6:51,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9a8
,Driver Inattention/Distraction,,9/7/2021,12:30,1,0,Sedan,,65226c0c27407f3e1fedf9a9
MANHATTAN,Unspecified,,9/11/2021,4:10,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9aa
,Turning Improperly,Unspecified,7/8/2021,9:25,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9ab
,Passing Too Closely,Unspecified,9/11/2021,6:40,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9ac
QUEENS,Unspecified,Unspecified,9/11/2021,17:35,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9ad
STATEN ISLAND,Lost Consciousness,Unspecified,7/8/2021,17:17,1,0,Sedan,Sedan,65226c0c27407f3e1fedf9ae
,Unsafe Speed,Unspecified,9/10/2021,3:00,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9af
BRONX,Unspecified,Unspecified,9/11/2021,5:59,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9b0
STATEN ISLAND,Passing or Lane Usage Improper,Unspecified,9/9/2021,11:39,1,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9b1
QUEENS,Driver Inattention/Distraction,Unspecified,4/13/2021,17:30,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9b2
BROOKLYN,Driver Inattention/Distraction,Unspecified,9/11/2021,17:40,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9b3
,Following Too Closely,Unspecified,9/11/2021,22:15,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9b4
BROOKLYN,Unspecified,,9/11/2021,7:15,0,0,Sedan,,65226c0c27407f3e1fedf9b5
QUEENS,Driver Inattention/Distraction,Unspecified,9/10/2021,17:00,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9b6
BROOKLYN,Driver Inexperience,Unspecified,7/8/2021,11:33,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9b7
,Alcohol Involvement,Unspecified,9/11/2021,21:48,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9b8
,Following Too Closely,Unspecified,3/26/2022,10:30,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9b9
,Traffic Control Disregarded,Unspecified,9/11/2021,19:00,1,0,Taxi,Bike,65226c0c27407f3e1fedf9ba
BRONX,Following Too Closely,Unspecified,9/11/2021,22:23,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9bb
QUEENS,Unspecified,,9/11/2021,15:00,1,0,Sedan,,65226c0c27407f3e1fedf9bc
QUEENS,Failure to Yield Right-of-Way,Unsafe Speed,9/10/2021,10:20,2,0,Sedan,Sedan,65226c0c27407f3e1fedf9bd
BRONX,Traffic Control Disregarded,Unspecified,9/11/2021,0:00,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9be
BRONX,Other Vehicular,,7/6/2021,15:01,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9bf
,Driver Inattention/Distraction,Unspecified,7/9/2021,4:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9c0
BROOKLYN,Unspecified,Unspecified,9/10/2021,8:45,0,0,Sedan,Bus,65226c0c27407f3e1fedf9c1
,Driver Inattention/Distraction,Unspecified,9/11/2021,11:51,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9c2
BRONX,Unspecified,Unspecified,9/11/2021,18:50,1,0,Station Wagon/Sport Utility Vehicle,Refrigerated Van,65226c0c27407f3e1fedf9c3
,Driver Inexperience,Unspecified,7/2/2021,7:10,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9c4
STATEN ISLAND,Backing Unsafely,Unspecified,9/6/2021,13:26,0,0,Sedan,,65226c0c27407f3e1fedf9c5
QUEENS,Following Too Closely,Unspecified,9/11/2021,5:30,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9c6
MANHATTAN,Passing or Lane Usage Improper,Other Vehicular,9/11/2021,12:55,1,0,Station Wagon/Sport Utility Vehicle,Bike,65226c0c27407f3e1fedf9c7
,Following Too Closely,Unspecified,9/11/2021,14:00,2,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9c8
,Other Vehicular,Other Vehicular,7/9/2021,12:30,0,0,Box Truck,Sedan,65226c0c27407f3e1fedf9c9
,Driver Inattention/Distraction,Driver Inattention/Distraction,9/11/2021,13:00,1,0,Sedan,E-Scooter,65226c0c27407f3e1fedf9ca
BROOKLYN,Backing Unsafely,Unspecified,9/11/2021,15:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9cb
BROOKLYN,Driver Inattention/Distraction,,7/8/2021,15:30,1,0,Sedan,,65226c0c27407f3e1fedf9cc
,Passing Too Closely,Unspecified,7/9/2021,11:15,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9cd
,Lost Consciousness,Unspecified,9/2/2021,10:45,1,0,Sedan,Sedan,65226c0c27407f3e1fedf9ce
BROOKLYN,Driver Inattention/Distraction,Driver Inattention/Distraction,9/7/2021,17:35,1,0,Flat Bed,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9cf
BROOKLYN,Following Too Closely,Unspecified,9/11/2021,19:08,0,0,Taxi,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9d0
MANHATTAN,Backing Unsafely,,9/11/2021,10:25,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9d1
,Unspecified,,9/11/2021,14:00,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9d2
,Driver Inattention/Distraction,Unspecified,8/29/2021,0:12,1,0,Motorcycle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9d3
BROOKLYN,Unsafe Speed,Passing or Lane Usage Improper,9/11/2021,23:48,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9d4
QUEENS,Failure to Yield Right-of-Way,Unspecified,9/11/2021,1:45,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9d5
BRONX,Driver Inattention/Distraction,Unspecified,7/8/2021,17:13,0,0,Sedan,,65226c0c27407f3e1fedf9d6
QUEENS,Failure to Yield Right-of-Way,Unspecified,9/9/2021,11:39,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9d7
BRONX,Driver Inattention/Distraction,Unspecified,7/6/2021,19:00,0,0,Sedan,,65226c0c27407f3e1fedf9d8
,Passing Too Closely,Unspecified,9/11/2021,17:19,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9d9
BROOKLYN,Obstruction/Debris,,7/6/2021,18:00,0,0,Sedan,,65226c0c27407f3e1fedf9da
BROOKLYN,Driver Inexperience,,7/5/2021,17:20,0,0,E-Bike,,65226c0c27407f3e1fedf9db
,Turning Improperly,Unspecified,9/11/2021,9:10,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9dc
BROOKLYN,Unspecified,,9/11/2021,21:45,0,0,Sedan,,65226c0c27407f3e1fedf9dd
BROOKLYN,View Obstructed/Limited,,7/9/2021,6:51,1,0,Sedan,,65226c0c27407f3e1fedf9de
MANHATTAN,Unspecified,Unspecified,9/11/2021,21:00,1,0,Station Wagon/Sport Utility Vehicle,Bus,65226c0c27407f3e1fedf9df
BRONX,Unspecified,Unspecified,7/8/2021,14:30,1,0,Sedan,Sedan,65226c0c27407f3e1fedf9e0
QUEENS,Passing or Lane Usage Improper,Unspecified,9/11/2021,18:38,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9e1
MANHATTAN,Unspecified,,9/11/2021,15:28,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9e2
,Driver Inattention/Distraction,Driver Inattention/Distraction,9/5/2021,16:40,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9e3
,Lost Consciousness,Unspecified,9/11/2021,5:26,1,0,Sedan,Sedan,65226c0c27407f3e1fedf9e4
BRONX,Aggressive Driving/Road Rage,Unspecified,9/11/2021,12:30,0,0,Sedan,,65226c0c27407f3e1fedf9e5
QUEENS,Backing Unsafely,Unspecified,9/10/2021,12:10,0,0,Motorcycle,Sedan,65226c0c27407f3e1fedf9e6
QUEENS,Unspecified,Unspecified,6/26/2021,10:30,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9e7
,Unsafe Lane Changing,Unspecified,7/1/2021,21:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9e8
BROOKLYN,Unspecified,,4/16/2021,17:55,0,0,Sedan,,65226c0c27407f3e1fedf9e9
MANHATTAN,Driver Inattention/Distraction,Unspecified,9/11/2021,13:10,0,0,Taxi,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9ea
BROOKLYN,Driver Inattention/Distraction,,7/4/2021,0:58,1,0,Sedan,,65226c0c27407f3e1fedf9eb
QUEENS,Unsafe Speed,,9/11/2021,2:38,1,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9ec
BROOKLYN,Alcohol Involvement,Unspecified,7/4/2021,21:00,1,0,Sedan,E-Bike,65226c0c27407f3e1fedf9ed
BROOKLYN,Failure to Yield Right-of-Way,Unspecified,9/11/2021,18:00,1,0,Sedan,Sedan,65226c0c27407f3e1fedf9ee
QUEENS,Unsafe Speed,Unspecified,7/2/2021,16:45,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9ef
,Traffic Control Disregarded,Other Vehicular,9/11/2021,15:10,0,0,Bike,Sedan,65226c0c27407f3e1fedf9f0
QUEENS,Failure to Yield Right-of-Way,Unspecified,7/3/2021,10:18,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9f1
BROOKLYN,Driver Inattention/Distraction,Driver Inattention/Distraction,9/11/2021,14:40,2,0,Sedan,Sedan,65226c0c27407f3e1fedf9f2
,Unsafe Speed,Unspecified,9/11/2021,2:00,0,0,Station Wagon/Sport Utility Vehicle,4 dr sedan,65226c0c27407f3e1fedf9f3
,Unspecified,,9/11/2021,23:00,0,0,Sedan,,65226c0c27407f3e1fedf9f4
BRONX,Unspecified,,7/4/2021,8:00,0,0,Sedan,,65226c0c27407f3e1fedf9f5
BROOKLYN,Driver Inattention/Distraction,Unspecified,9/11/2021,15:30,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedf9f6
QUEENS,Passing Too Closely,Unspecified,9/11/2021,14:30,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9f7
BRONX,Turning Improperly,Unspecified,7/8/2021,6:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9f8
,Unsafe Speed,,8/11/2021,0:01,0,0,Sedan,,65226c0c27407f3e1fedf9f9
,Passing Too Closely,Unspecified,9/11/2021,9:30,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedf9fa
,Passing or Lane Usage Improper,Unspecified,9/11/2021,16:40,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9fb
,Failure to Yield Right-of-Way,Unspecified,9/11/2021,18:05,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9fc
BROOKLYN,Driver Inattention/Distraction,Unspecified,9/11/2021,2:00,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedf9fd
STATEN ISLAND,Driver Inattention/Distraction,Unspecified,9/7/2021,8:03,1,0,E-Bike,Sedan,65226c0c27407f3e1fedf9fe
QUEENS,Backing Unsafely,Unspecified,9/11/2021,13:53,0,0,Sedan,Sedan,65226c0c27407f3e1fedf9ff
,Driver Inattention/Distraction,Unspecified,7/8/2021,11:50,2,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa00
,Driver Inattention/Distraction,Unspecified,9/11/2021,14:00,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa01
BROOKLYN,Unspecified,Unspecified,9/11/2021,7:09,1,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa02
MANHATTAN,Driver Inexperience,Unspecified,7/8/2021,15:40,0,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa03
QUEENS,Driver Inattention/Distraction,Unspecified,9/7/2021,3:00,1,0,Sedan,,65226c0c27407f3e1fedfa04
QUEENS,Other Vehicular,Unspecified,7/5/2021,6:00,0,0,Sedan,Sedan,65226c0c27407f3e1fedfa05
,Unspecified,Unspecified,9/11/2021,10:48,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa06
,Passing or Lane Usage Improper,Unspecified,9/10/2021,19:15,0,0,Sedan,,65226c0c27407f3e1fedfa07
,Driver Inattention/Distraction,Unspecified,7/6/2021,9:37,2,0,Box Truck,Box Truck,65226c0c27407f3e1fedfa08
,Driver Inattention/Distraction,,7/1/2021,15:30,0,0,Sedan,,65226c0c27407f3e1fedfa09
BRONX,Following Too Closely,Unspecified,7/7/2021,18:04,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa0a
MANHATTAN,Driver Inattention/Distraction,Unspecified,9/8/2021,17:40,0,0,Box Truck,Sedan,65226c0c27407f3e1fedfa0b
BROOKLYN,Unspecified,Unspecified,9/11/2021,7:33,1,0,Station Wagon/Sport Utility Vehicle,Taxi,65226c0c27407f3e1fedfa0c
,Passing or Lane Usage Improper,Unspecified,7/8/2021,11:50,1,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedfa0d
BROOKLYN,Driver Inattention/Distraction,Unspecified,9/11/2021,8:00,0,0,Ambulance,Bike,65226c0c27407f3e1fedfa0e
MANHATTAN,Driver Inattention/Distraction,,9/8/2021,8:43,1,0,Sedan,,65226c0c27407f3e1fedfa0f
QUEENS,Unspecified,,9/11/2021,23:00,0,0,Sedan,,65226c0c27407f3e1fedfa10
QUEENS,Unspecified,,9/9/2021,12:00,1,0,Motorcycle,,65226c0c27407f3e1fedfa11
QUEENS,Driver Inattention/Distraction,Unspecified,7/7/2021,17:13,1,0,Station Wagon/Sport Utility Vehicle,E-Bike,65226c0c27407f3e1fedfa12
BRONX,Failure to Yield Right-of-Way,Unspecified,9/11/2021,18:03,2,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedfa13
QUEENS,Driver Inexperience,Unspecified,9/9/2021,17:00,0,0,Sedan,,65226c0c27407f3e1fedfa14
MANHATTAN,Driver Inexperience,,9/8/2021,18:13,0,0,Taxi,,65226c0c27407f3e1fedfa15
QUEENS,Passing or Lane Usage Improper,Unspecified,9/11/2021,20:50,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedfa16
QUEENS,Driver Inexperience,,7/5/2021,0:16,0,0,Sedan,,65226c0c27407f3e1fedfa17
,Unspecified,Unspecified,9/11/2021,18:21,0,0,Sedan,Sedan,65226c0c27407f3e1fedfa18
,Following Too Closely,Unspecified,6/29/2021,16:26,0,0,Station Wagon/Sport Utility Vehicle,,65226c0c27407f3e1fedfa19
,Pavement Slippery,,7/9/2021,3:52,0,0,Sedan,,65226c0c27407f3e1fedfa1a
,Unsafe Lane Changing,Unspecified,7/8/2021,8:50,0,0,Tow Truck / Wrecker,Sedan,65226c0c27407f3e1fedfa1b
BROOKLYN,Tinted Windows,,7/9/2021,10:38,1,0,Sedan,,65226c0c27407f3e1fedfa1c
QUEENS,Driver Inattention/Distraction,Unspecified,9/11/2021,17:45,0,0,Sedan,Tow Truck / Wrecker,65226c0c27407f3e1fedfa1d
BRONX,Passing Too Closely,Unspecified,9/11/2021,1:30,0,0,Dump,Sedan,65226c0c27407f3e1fedfa1e
BROOKLYN,Driver Inattention/Distraction,,9/11/2021,2:00,1,0,,,65226c0c27407f3e1fedfa1f
,Following Too Closely,Unspecified,9/11/2021,17:08,0,0,Sedan,Sedan,65226c0c27407f3e1fedfa20
BROOKLYN,Driver Inattention/Distraction,Unspecified,7/8/2021,23:25,0,0,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,65226c0c27407f3e1fedfa21
BRONX,Aggressive Driving/Road Rage,Aggressive Driving/Road Rage,9/11/2021,1:20,0,0,Sedan,Sedan,65226c0c27407f3e1fedfa22
,Failure to Yield Right-of-Way,Unspecified,9/10/2021,0:00,1,0,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa23
MANHATTAN,Unsafe Lane Changing,Unspecified,9/8/2021,16:33,0,0,Station Wagon/Sport Utility Vehicle,Sedan,65226c0c27407f3e1fedfa24
,Following Too Closely,Unspecified,9/10/2021,11:17,1,0,Taxi,,65226c0c27407f3e1fedfa25
MANHATTAN,Unspecified,Unspecified,9/10/2021,17:08,1,0,Taxi,Sedan,65226c0c27407f3e1fedfa26
MANHATTAN,Driver Inattention/Distraction,Unspecified,7/8/2021,17:55,1,0,Motorcycle,,65226c0c27407f3e1fedfa27
,Driver Inattention/Distraction,Unspecified,9/11/2021,13:35,0,0,Sedan,,65226c0c27407f3e1fedfa28
BROOKLYN,Fell Asleep,Unspecified,9/11/2021,0:50,0,0,Sedan,Sedan,65226c0c27407f3e1fedfa29
,Passing Too Closely,Unspecified,9/11/2021,3:00,0,0,Tow Truck / Wrecker,Garbage or Refuse,65226c0c27407f3e1fedfa2a
MANHATTAN,Unspecified,,9/11/2021,4:41,0,0,Sedan,,65226c0c27407f3e1fedfa2b
,Passing or Lane Usage Improper,Unspecified,9/11/2021,21:05,0,0,Sedan,Sedan,65226c0c27407f3e1fedfa2c
,Driver Inattention/Distraction,Unspecified,9/11/2021,20:59,0,0,Sedan,Station Wagon/Sport Utility Vehicle,65226c0c27407f3e1fedfa2d
,,,7/4/2021,22:22,1,0,,,65226c0c27407f3e1fedfa2e
MANHATTAN,Unspecified,Unspecified,9/10/2021,21:03,1,0,Sedan,E-Scooter,65226c0c27407f3e1fedfa2f
,Following Too Closely,Unspecified,9/10/2021,14:35,1,0,Sedan,Pick-up Truck,65226c0c27407f3e1fedfa30
BRONX,Unspecified,,6/26/2021,17:23,0,0,Sedan,,65226c0c27407f3e1fedfa31
,Passing or Lane Usage Improper,Turning Improperly,9/11/2021,23:18,1,0,Sedan,Sedan,65226c0c27407f3e1fedfa32
